Día,Hora,Minuto,Mes,Carga (kWh),Descarga (kWh)
4,1,50,5,0.12,0
4,1,55,5,0.15,0
4,2,0,5,0.19,0
4,2,5,5,0.2,0
4,2,10,5,0.17,0
4,2,15,5,0.13,0
4,2,20,5,0.12,0
4,2,25,5,0.12,0
4,2,30,5,0.12,0
4,2,35,5,0.12,0
4,2,40,5,0.12,0
4,2,45,5,0.12,0
4,2,50,5,0.12,0
4,2,55,5,0.12,0
4,3,0,5,0.12,0
4,3,5,5,0.12,0
4,3,10,5,0.12,0
4,3,15,5,0.12,0
4,3,20,5,0.13,0
4,3,25,5,0.15,0
4,3,30,5,0.15,0
4,3,35,5,0.14,0
4,3,40,5,0.12,0
4,3,45,5,0.12,0
4,3,50,5,0.12,0
4,3,55,5,0.12,0
4,4,0,5,0.12,0
4,4,5,5,0.12,0
4,4,10,5,0.12,0
4,4,15,5,0.12,0
4,4,20,5,0.12,0
4,4,25,5,0.12,0
4,4,30,5,0.12,0
4,4,35,5,0.12,0
4,4,40,5,0.12,0
4,4,45,5,0.12,0
4,4,50,5,0.12,0
4,4,55,5,0.12,0
4,5,0,5,0.12,0
4,5,5,5,0.12,0
4,5,10,5,0.12,0
4,5,15,5,0.12,0
4,5,20,5,0.12,0
4,5,25,5,0.12,0
4,5,30,5,0.14,0
4,5,35,5,0.15,0
4,5,40,5,0.15,0
4,5,45,5,0.14,0
4,5,50,5,0.12,0
4,5,55,5,0.12,0
4,6,0,5,0.12,0
4,6,5,5,0.12,0
4,6,10,5,0.12,0
4,6,15,5,0.12,0
4,6,20,5,0.12,0
4,6,25,5,0.12,0
4,6,30,5,0.12,0
4,6,35,5,0.12,0
4,6,40,5,0.12,0
4,6,45,5,0.12,0
4,6,50,5,0.12,0
4,6,55,5,0.12,0
4,7,0,5,0.12,0
4,7,5,5,0.15,0
4,7,10,5,0.18,0
4,7,15,5,0.2,0
4,7,20,5,0.17,0
4,7,25,5,0.13,0
4,7,30,5,0.12,0
4,7,35,5,0.12,0
4,7,40,5,0.17,0
4,7,45,5,0.23,0
4,7,50,5,0.23,0
4,7,55,5,0.17,0
4,8,0,5,0.12,0
4,8,5,5,0.13,0
4,8,10,5,0.17,0
4,8,15,5,0.21,0
4,8,20,5,0.2,0
4,8,25,5,0.16,0
4,8,30,5,0.12,0
4,8,35,5,0.14,0
4,8,40,5,0.18,0
4,8,45,5,0.21,0
4,8,50,5,0.19,0
4,8,55,5,0.15,0
4,9,0,5,0.12,0
4,9,5,5,0.16,0
4,9,10,5,0.2,0
4,9,15,5,0.22,0
4,9,20,5,0.18,0
4,9,25,5,0.14,0
4,9,30,5,0.12,0
4,9,35,5,0.16,0
4,9,40,5,0.2,0
4,9,45,5,0.24,0
4,9,50,5,0.21,0
4,9,55,5,0.18,0
4,10,0,5,0.15,0
4,10,5,5,0.15,0
4,10,10,5,0.18,0
4,10,15,5,0.22,0
4,10,20,5,0.22,0
4,10,25,5,0.18,0
