FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
13/06/2026 11:05,11,Intermedio,57.6,0.0,691.2,0.0,6347.7427674,0,76172.9132088,0,57.6,6347.7427674,6290.1427674,75481.71320879999,76172.9132088,75481.7132088
13/06/2026 12:05,12,Intermedio,43.2,0.0,518.4000000000001,0.0,6135.2459106,0,73622.9509272,0,43.2,6135.2459106,6092.0459106,73104.5509272,73622.9509272,73104.5509272
13/06/2026 13:05,13,Intermedio,43.2,0.0,518.4000000000001,0.0,4704.5413512,0,56454.496214399995,0,43.2,4704.5413512,4661.3413512,55936.09621439999,56454.496214399995,55936.09621439999
13/06/2026 14:05,14,Intermedio,57.6,0.0,691.2,0.0,4694.3608399,0,56332.330078800005,0,57.6,4694.3608399,4636.7608399,55641.1300788,56332.330078800005,55641.13007880001
13/06/2026 15:05,15,Intermedio,43.2,0.0,518.4000000000001,0.0,4807.5184937,0,57690.2219244,0,43.2,4807.5184937,4764.3184937000005,57171.82192440001,57690.2219244,57171.8219244
13/06/2026 16:05,16,Intermedio,43.2,0.0,518.4000000000001,0.0,4701.7790527,0,56421.3486324,0,43.2,4701.7790527,4658.5790527,55902.9486324,56421.3486324,55902.948632399995
13/06/2026 17:05,17,Intermedio,43.2,0.0,518.4000000000001,0.0,5044.0082702,0,60528.0992424,0,43.2,5044.0082702,5000.8082702,60009.699242400005,60528.0992424,60009.6992424
13/06/2026 18:05,18,Intermedio,43.2,388.79999999999995,518.4000000000001,4665.599999999999,4332.554016,0,51990.648192,0,-345.59999999999997,4332.554016,4678.154016,56137.848192000005,51990.648192,56137.848192
13/06/2026 19:05,19,Intermedio,0.0,1396.8,0.0,16761.6,3702.6094969,0,44431.3139628,0,-1396.8,3702.6094969,5099.4094969,61192.9139628,44431.3139628,61192.9139628
13/06/2026 20:05,20,Intermedio,0.0,1166.4,0.0,13996.800000000001,3500.6793213,0,42008.1518556,0,-1166.4,3500.6793213,4667.0793213,56004.9518556,42008.1518556,56004.951855600004
13/06/2026 21:05,21,Intermedio,0.0,1353.6,0.0,16243.199999999999,3016.8034669,0,36201.641602799995,0,-1353.6,3016.8034669,4370.403466899999,52444.84160279999,36201.641602799995,52444.84160279999
13/06/2026 22:05,22,Intermedio,28.8,244.8,345.6,2937.6000000000004,4090.371872,0,49084.462464000004,0,-216.0,4090.371872,4306.371872,51676.462464,49084.462464000004,51676.462464000004
13/06/2026 23:05,23,Intermedio,43.2,0.0,518.4000000000001,0.0,4140.8168946,0,49689.80273519999,0,43.2,4140.8168946,4097.6168946,49171.4027352,49689.80273519999,49171.40273519999
14/06/2026 00:05,24,Intermedio,57.6,0.0,691.2,0.0,5631.8153686,0,67581.78442319999,0,57.6,5631.8153686,5574.215368599999,66890.5844232,67581.78442319999,66890.5844232
14/06/2026 01:05,1,Base,5256.0,0.0,63072.0,0.0,10475.7946153,0,125709.53538359998,0,5256.0,10475.7946153,5219.794615299999,62637.53538359999,125709.53538359998,62637.535383599985
14/06/2026 02:05,2,Base,43.2,0.0,518.4000000000001,0.0,5639.9205628,0,67679.0467536,0,43.2,5639.9205628,5596.7205628,67160.6467536,67679.0467536,67160.64675360001
14/06/2026 03:05,3,Base,57.6,0.0,691.2,0.0,5603.4646606,0,67241.5759272,0,57.6,5603.4646606,5545.864660599999,66550.37592719999,67241.5759272,66550.3759272
14/06/2026 04:05,4,Base,43.2,0.0,518.4000000000001,0.0,5590.6801757,0,67088.1621084,0,43.2,5590.6801757,5547.4801757000005,66569.7621084,67088.1621084,66569.76210840001
14/06/2026 05:05,5,Base,43.2,0.0,518.4000000000001,0.0,5289.9916689,0,63479.9000268,0,43.2,5289.9916689,5246.7916689,62961.5000268,63479.9000268,62961.5000268
14/06/2026 06:05,6,Base,43.2,0.0,518.4000000000001,0.0,4866.4696655,0,58397.635985999994,0,43.2,4866.4696655,4823.2696655,57879.235986,58397.635985999994,57879.23598599999
14/06/2026 07:05,7,Base,57.6,0.0,691.2,0.0,4803.9070739,0,57646.8848868,0,57.6,4803.9070739,4746.3070738999995,56955.684886799994,57646.8848868,56955.6848868
